CN,PLT_CN,PREV_SIT_CN,INVYR,STATECD,UNITCD,COUNTYCD,PLOT,CONDID,TREE,SPCD,DIA,HT,AGEDIA,SPGRPCD,SITREE,SIBASE,SUBP,METHOD,SITREE_EST,VALIDCD,CREATED_DATE,MODIFIED_DATE,CYCLE,SUBCYCLE,AGECHKCD_RMRS,AGE_DETERMINATION_METHOD_PNWRS,CCLCD_RMRS,DAMAGE_AGENT_CD1_RMRS,DAMAGE_AGENT_CD2_RMRS,DAMAGE_AGENT_CD3_RMRS,SIBASE_AGE_PNWRS,SITETRCD_RMRS,SITE_AGE_TREE_STATUS_PNWRS,SITE_AGE_TREE_TYPE_PNWRS,SITE_TREE_METHOD_PNWRS,SITREE_EQU_NO_PNWRS,TREECLCD_RMRS,TREE_ACT_RMRS,YEAR_AGE_TAKEN,SIEQN_REF_CD,SITREE_FVS,SIBASE_FVS,SIEQN_REF_CD_FVS
644925428126144,479563703489998,,2017,2,1,201,44483,1,9,42.0,6.3,30,212,24,27,100,3,1,,1,2019-04-11 18:24:16,2024-09-17 13:16:07,3,3,,0,,,,,100,,A,1,,11,,,,,20,50,TSHE02
644929688126144,479562745489998,,2017,2,1,280,15482,1,12,264.0,3.5,12,123,24,10,100,1,1,,1,2019-04-11 18:24:16,2024-09-17 13:16:07,3,3,,0,,,,,100,,N,3,,9,,,,,8,50,TSHE01
644929686126144,479562745489998,,2017,2,1,280,15482,1,10,264.0,1.8,9,168,24,7,100,2,1,,1,2019-04-11 18:24:16,2024-09-17 13:16:07,3,3,,0,,,,,100,,N,3,,9,,,,,6,50,TSHE01
644929687126144,479562745489998,,2017,2,1,280,15482,1,11,264.0,2.7,10,81,24,11,100,4,1,,1,2019-04-11 18:24:16,2024-09-17 13:16:07,3,3,,0,,,,,100,,N,3,,9,,,,,8,50,TSHE01
720747105290487,433023176489998,,2017,2,1,122,26021,1,4,264.0,5.5,23,75,24,26,100,2,1,,1,2020-02-10 18:08:34,2024-09-17 13:16:07,3,3,,0,,,,,100,,A,3,,9,,,,,18,50,TSHE01
720747103290487,433023176489998,,2017,2,1,122,26021,1,2,264.0,5.7,20,69,24,24,100,4,1,,1,2020-02-10 18:08:34,2024-09-17 13:16:07,3,3,,0,,,,,100,,A,3,,9,,,,,16,50,TSHE01
720747104290487,433023176489998,,2017,2,1,122,26021,1,3,264.0,5.5,22,79,24,24,100,4,1,,1,2020-02-10 18:08:34,2024-09-17 13:16:07,3,3,,0,,,,,100,,A,3,,9,,,,,16,50,TSHE01
720748048290487,451233084489998,,2017,2,1,261,42629,1,10,264.0,3.3,12,139,24,10,100,2,1,,1,2020-02-10 18:08:36,2024-09-17 13:16:07,3,3,,0,,,,,100,,N,1,,9,,,,,8,50,TSHE01
720746817290487,479562402489998,,2017,2,1,110,6778,1,11,98.0,14.0,47,41,17,78,100,1,1,,1,2020-02-10 18:08:37,2024-09-17 13:16:07,3,3,,1,,,,,100,,N,3,,9,,,,,55,50,PISI01
720746818290487,479562402489998,,2017,2,1,110,6778,1,12,98.0,10.5,52,34,17,97,100,1,1,,1,2020-02-10 18:08:37,2024-09-17 13:16:07,3,3,,1,,,,,100,,N,3,,9,,,,,70,50,PISI01
